,cluster,person,list1,list2,organize,map,x,y,perc
22,23,"6,8,10,42","59,41,90,60,44,28,79","28,41,44,59,60,79,90","8,19,2,44","59,41,90,60,44,28,79",-0.687063783,0.065852062,1
23,24,"6,8,10,42","59,41,90,60,44,28,79","41,74,90","33,2,11,17,24,19","41,90",-0.635410171,0.25342272,0.285714286
24,25,"1,35,41","39,34","34,39,94","38,29,22,26,12,19,1","39,34",-0.284547715,-0.319615854,0.666666667
25,26,"13,14,46","14,1,94,98,78,89,37,95","14,78,98","37,1,19,12,24","14,98,78",0.149106556,0.395514028,0.375
26,27,"13,14,46","14,1,94,98,78,89,37,95","15,78,98","10,37,19,24","98,78",0.225819034,0.322688331,0.25
27,28,"29,31,33","73,74,54,87,62","54,62,73,74,87","9,12,2,25","73,74,54,87,62",-0.434981619,0.49301213,1
28,29,"14,28,45","68,98,15,33,55,4","15,33,98","0,37,30,19","98,15,33",-0.034358601,0.025854194,0.5
29,30,"14,28,45","68,98,15,33,55,4","15,78,98","10,37,19,24","98,15",0.089826343,0.112714881,0.333333333
30,31,"14,28,45","68,98,15,33,55,4","0,15,98","45,19,24,37","98,15",0.08388326,0.088302597,0.333333333
31,32,"14,28,45","68,98,15,33,55,4","15,84,98","46,19,20","98,15",-0.009031522,-0.148415736,0.333333333
32,33,"24,39,40","69,70,76,66,57,102,8","8,57,66,69,70,76,102","27,19,28,18,14,15","69,70,76,66,57,102,8",-0.330243895,-0.673049566,1
33,34,"1,9","1,9,13","1,9,14","12,19","15,3,94,98,1",0.230791996,-0.184032022,0.666666667
34,35,"1,9","1,9,13","1,9,27,37","38,12","15,3,94,98,1",0.341345975,-0.14877903,0.5
35,36,"9,14","9,13,14","1,9,14","12,19","78,15,94,98,1",0.224639837,0.040225681,0.666666667
36,37,"13,14","9,13,14","13,14,46","1,24,12","78,15,94,98,1",0.271411617,0.364071185,0.666666667
37,38,"20,36,41,47,48","20,36,41,47,48","20,36,41,47,48","35,12","56,3,38,75",-0.23863434,-0.001903658,1
38,39,"1,14","1,13,14","1,9,14","12,19","95,15,98,94,1",0.120335546,-0.013970686,0.666666667
39,40,"13,14","1,13,14","13,14,46","1,24,12","95,15,98,94,1",0.288713616,0.35001539,0.666666667
40,41,"6,8,10,42","6,8,10,42","6,8,10,42","8,19,2,44","59,41,90,60,44,28,79",-0.687063488,0.065833117,1
41,42,"13,14,46","13,14,46","13,14,46","1,24,12","14,1,94,98,78,89,37,95",0.176162502,0.495343882,1
42,43,"29,31,33","29,31,33","29,31,33","9,12,2,25","73,74,54,87,62",-0.434989493,0.493013667,1
43,44,"14,28,45","14,28,45","14,28,45","0,19,24,37,30","68,98,15,33,55,4",-0.118902635,0.17280339,1
44,45,"24,39,40","24,39,40","24,39,40","27,19,18,14,15,28","69,70,76,66,57,102,8",-0.330330918,-0.673021897,1
45,46,"1,9,14","12,19","37,1,19,12,24","12,19","14,78,98",0.067659609,0.056416553,0.4
46,47,"1,9,14","12,19","38,29,22,26,12,19,1","12,19","34,39,94",0.089843076,-0.134653001,0.285714286
47,48,"13,14,46","1,24,12","37,1,19,12,24","1,24,12","14,78,98",0.169489469,0.480608687,0.6
48,49,"13,14,46","1,24,12","38,29,22,26,12,19,1","1,12","34,39,94",0.189518554,0.325982528,0.285714286
49,50,"20,36,41,47,48","35,12","35,12","35,12","3,38,56,75",-0.238302894,-0.002624007,1
50,51,"6,8,10,42","8,19,2,44","8,19,2,44","8,19,2,44","28,41,44,59,60,79,90",-0.687063437,0.065841914,1
51,52,"6,8,10,42","8,19,2,44","43,19,2,42","19,2","16,35,45,70,72,103",-0.638348266,-0.173929375,0.5
52,53,"6,8,10,42","8,19,2,44","33,2,11,17,24,19","19,2","41,74,90",-0.648272162,-0.012810166,0.333333333
53,54,"1,9,27,37","38,12","38,29,22,26,12,19,1","38,12","34,39,94",0.196215819,-0.158423172,0.285714286
54,55,"29,31,33","9,12,2,25","9,12,2,25","9,12,2,25","54,62,73,74,87",-0.434984886,0.49301231,1
55,56,"1,16,28","20,19","46,19,20","20,19","15,84,98",-0.085568286,-0.365616518,0.666666667
56,57,"14,28,45","0,19,24,37,30","37,1,19,12,24","19,24,37","14,78,98",-0.021485703,0.338569988,0.6
57,58,"14,28,45","0,19,24,37,30","0,37,30,19","0,19,37,30","15,33,98",-0.034353133,0.025856291,0.8
58,59,"14,28,45","0,19,24,37,30","10,37,19,24","19,24,37","15,78,98",0.023893447,0.226439546,0.6
59,60,"14,28,45","0,19,24,37,30","33,2,11,17,24,19","19,24","41,74,90",-0.347994277,0.261730596,0.333333333
60,61,"14,28,45","0,19,24,37,30","45,19,24,37","19,24,37","0,15,98",-0.01285707,0.180869693,0.6
61,62,"24,39,40","27,19,18,14,15,28","27,19,28,18,14,15","27,19,18,14,15,28","8,57,66,69,70,76,102",-0.330375696,-0.673005132,1
