cluster,person,list1,list2,organize,map,count,match,x,y
31,"14,28,45","68,98,15,33,55,4","15,84,98","46,19,20","98,15",2,0,-0.009031522,-0.148415736
32,"1,9","1,9,13","1,9,14","12,19","15,3,94,98,1",2,0,0.230791996,-0.184032022
33,"1,9","1,9,13","1,9,27,37","38,12","15,3,94,98,1",2,0,0.341345975,-0.14877903
34,"9,14","9,13,14","1,9,14","12,19","78,15,94,98,1",2,0,0.224639837,0.040225681
35,"13,14","9,13,14","13,14,46","1,24,12","78,15,94,98,1",2,0,0.271411617,0.364071185
36,"20,36,41,47,48","20,36,41,47,48","20,36,41,47,48","35,12","56,3,38,75",5,1,-0.23863434,-0.001903658
37,"1,14","1,13,14","1,9,14","12,19","95,15,98,94,1",2,0,0.120335546,-0.013970686
38,"13,14","1,13,14","13,14,46","1,24,12","95,15,98,94,1",2,0,0.288713616,0.35001539
39,"13,14,46","13,14,46","13,14,46","1,24,12","14,1,94,98,78,89,37,95",3,1,0.176162502,0.495343882
40,"14,28,45","14,28,45","14,28,45","0,19,24,37,30","68,98,15,33,55,4",3,1,-0.118902635,0.17280339
41,"1,9,14","12,19","37,1,19,12,24","12,19","14,78,98",2,0,0.067659609,0.056416553
42,"1,9,14","12,19","38,29,22,26,12,19,1","12,19","34,39,94",2,0,0.089843076,-0.134653001
43,"13,14,46","1,24,12","37,1,19,12,24","1,24,12","14,78,98",3,0,0.169489469,0.480608687
44,"13,14,46","1,24,12","38,29,22,26,12,19,1","1,12","34,39,94",2,0,0.189518554,0.325982528
45,"6,8,10,42","8,19,2,44","8,19,2,44","8,19,2,44","28,41,44,59,60,79,90",4,1,-0.687063437,0.065841914
46,"6,8,10,42","8,19,2,44","43,19,2,42","19,2","16,35,45,70,72,103",2,0,-0.638348266,-0.173929375
47,"6,8,10,42","8,19,2,44","33,2,11,17,24,19","19,2","41,74,90",2,0,-0.648272162,-0.012810166
48,"1,9,27,37","38,12","38,29,22,26,12,19,1","38,12","34,39,94",2,0,0.196215819,-0.158423172
49,"29,31,33","9,12,2,25","9,12,2,25","9,12,2,25","54,62,73,74,87",4,1,-0.434984886,0.49301231
50,"1,16,28","20,19","46,19,20","20,19","15,84,98",2,0,-0.085568286,-0.365616518
51,"14,28,45","0,19,24,37,30","37,1,19,12,24","19,24,37","14,78,98",3,0,-0.021485703,0.338569988
52,"14,28,45","0,19,24,37,30","0,37,30,19","0,19,37,30","15,33,98",4,0,-0.034353133,0.025856291
53,"14,28,45","0,19,24,37,30","10,37,19,24","19,24,37","15,78,98",3,0,0.023893447,0.226439546
54,"14,28,45","0,19,24,37,30","33,2,11,17,24,19","19,24","41,74,90",2,0,-0.347994277,0.261730596
55,"14,28,45","0,19,24,37,30","45,19,24,37","19,24,37","0,15,98",3,0,-0.01285707,0.180869693
56,"24,39,40","27,19,18,14,15,28","27,19,28,18,14,15","27,19,18,14,15,28","8,57,66,69,70,76,102",6,1,-0.330375696,-0.673005132
